Index,8 Backcandles,15 Backcandles,30 Backcandles,60 Backcandles,180 Backcandles,Actual Price
267,"2,353.67","2,430.09","2,186.97","2,074.93","2,188.20","2,504.01"
268,"2,349.11","2,402.00","2,161.45","2,120.13","2,153.00","2,475.86"
269,"2,330.54","2,387.96","2,160.86","2,146.74","2,133.67","2,427.56"
270,"2,313.92","2,372.79","2,143.41","2,192.76","2,155.59","2,437.60"
271,"2,294.30","2,348.09","2,135.43","2,207.36","2,155.66","2,404.92"
272,"2,270.30","2,345.47","2,125.36","2,175.23","2,141.94","2,399.21"
273,"2,253.40","2,325.20","2,166.24","2,179.28","2,127.00","2,384.53"
274,"2,235.83","2,315.53","2,203.98","2,193.54","2,145.16","2,443.47"
275,"2,222.81","2,301.57","2,211.87","2,226.18","2,177.23","2,494.64"
276,"2,211.55","2,338.80","2,235.99","2,218.64","2,203.93","2,495.35"
277,"2,224.80","2,367.94","2,242.27","2,192.25","2,229.36","2,532.23"
278,"2,250.21","2,368.71","2,221.33","2,166.34","2,242.16","2,532.23"
279,"2,269.18","2,391.34","2,212.88","2,178.10","2,263.66","2,485.21"
280,"2,291.13","2,395.23","2,223.12","2,166.13","2,260.98","2,477.26"
281,"2,305.29","2,374.40","2,245.48","2,172.87","2,277.65","2,499.24"
282,"2,298.39","2,371.20","2,226.79","2,119.75","2,291.64","2,538.27"
283,"2,293.28","2,384.74","2,201.57","2,094.86","2,306.67","2,493.40"
284,"2,296.07","2,407.47","2,190.51","2,065.40","2,330.19","2,445.77"
285,"2,309.61","2,387.86","2,210.05","2,051.87","2,332.65","2,435.98"
286,"2,305.21","2,369.00","2,213.05","2,085.47","2,317.26","2,477.13"
287,"2,290.55","2,362.41","2,213.28","2,098.24","2,318.72","2,477.12"
288,"2,279.35","2,382.55","2,179.37","2,092.72","2,329.94","2,477.82"
289,"2,282.73","2,381.04","2,161.40","2,116.32","2,316.43","2,403.83"
290,"2,283.97","2,379.65","2,138.16","2,124.25","2,298.23","2,378.78"
291,"2,285.19","2,345.73","2,152.92","2,112.29","2,296.44","2,333.63"
292,"2,266.97","2,331.36","2,180.13","2,077.81","2,292.17","2,372.75"
293,"2,248.07","2,310.67","2,182.77","2,049.01","2,268.37","2,426.43"
294,"2,222.72","2,324.29","2,167.84","2,060.03","2,255.50","2,422.79"
295,"2,215.38","2,347.16","2,186.87","2,056.30","2,264.80","2,385.30"
296,"2,228.94","2,342.93","2,183.00","2,048.30","2,250.33","2,429.65"
297,"2,237.38","2,327.23","2,172.30","2,031.70","2,241.23","2,412.45"
298,"2,233.99","2,347.75","2,142.06","2,046.14","2,259.27","2,389.68"
299,"2,244.09","2,340.76","2,128.42","2,084.18","2,264.05","2,315.76"
300,"2,245.34","2,330.23","2,154.52","2,123.40","2,243.27","2,301.12"
301,"2,240.14","2,302.89","2,152.25","2,164.73","2,202.91","2,362.39"
302,"2,217.97","2,293.57","2,138.69","2,192.52","2,192.56","2,352.03"
303,"2,202.97","2,317.83","2,126.93","2,225.82","2,156.77","2,319.57"
304,"2,208.20","2,309.12","2,147.32","2,231.79","2,143.22","2,299.14"
305,"2,207.44","2,295.52","2,175.27","2,249.76","2,165.87","2,347.69"
306,"2,199.85","2,284.08","2,193.41","2,265.78","2,133.26","2,404.14"
307,"2,190.77","2,303.01","2,210.39","2,282.12","2,123.32","2,435.68"
308,"2,196.85","2,326.18","2,214.57","2,311.27","2,125.10","2,466.14"
309,"2,213.96","2,340.90","2,229.33","2,317.47","2,154.45","2,463.36"
310,"2,233.02","2,356.80","2,219.43","2,302.20","2,127.75","2,492.71"
311,"2,254.28","2,361.14","2,233.13","2,293.91","2,110.11","2,461.39"
312,"2,268.99","2,377.71","2,241.31","2,299.68","2,072.54","2,496.01"
313,"2,284.62","2,369.10","2,251.81","2,283.83","2,057.45","2,506.39"
314,"2,286.51","2,386.27","2,268.67","2,255.25","2,033.49","2,524.72"
315,"2,297.16","2,394.18","2,263.93","2,243.68","2,015.95","2,559.44"
316,"2,306.98","2,405.37","2,245.12","2,233.87","2,038.57","2,540.85"
317,"2,317.53","2,422.77","2,247.08","2,204.64","2,039.45","2,501.29"
318,"2,331.37","2,418.36","2,257.35","2,187.69","2,062.08","2,511.27"
319,"2,335.72","2,403.85","2,242.54","2,188.37","2,032.99","2,531.91"
320,"2,329.43","2,410.14","2,227.36","2,174.14","2,017.33","2,497.10"
321,"2,328.95","2,420.42","2,229.04","2,159.79","2,006.36","2,470.68"
322,"2,331.75","2,405.81","2,225.26","2,177.88","2,024.26","2,479.62"
323,"2,325.05","2,394.30","2,205.40","2,188.36","2,016.52","2,472.20"
324,"2,314.68","2,398.06","2,197.38","2,177.09","2,027.97","2,433.12"
325,"2,310.30","2,393.51","2,210.93","2,131.21","2,055.99","2,424.95"
326,"2,305.87","2,373.73","2,198.01","2,103.17","2,093.89","2,454.76"
327,"2,291.42","2,368.49","2,192.96","2,060.44","2,103.95","2,424.61"
328,"2,280.20","2,380.64","2,214.90","2,038.63","2,104.25","2,421.46"
329,"2,281.61","2,364.25","2,216.74","2,057.11","2,125.68","2,463.15"
330,"2,273.95","2,359.04","2,198.09","2,027.31","2,120.40","2,460.21"
331,"2,268.64","2,378.88","2,164.43","2,003.48","2,126.66","2,420.68"
332,"2,275.92","2,376.34","2,164.07","2,006.86","2,137.48","2,354.33"
333,"2,280.94","2,357.74","2,135.54","2,040.67","2,133.60","2,369.30"
334,"2,271.40","2,327.81","2,128.27","2,023.30","2,107.68","2,301.41"
335,"2,248.07","2,329.37","2,155.59","1,998.98","2,068.60","2,305.28"
336,"2,236.98","2,299.10","2,127.39","1,960.07","2,014.71","2,361.69"
337,"2,211.82","2,292.34","2,125.20","1,935.26","1,986.12","2,276.45"
338,"2,197.27","2,315.66","2,127.11","1,907.66","1,985.46","2,290.90"
339,"2,203.80","2,282.21","2,159.00","1,877.84","1,948.85","2,301.07"
340,"2,185.69","2,279.77","2,132.06","1,904.08","1,933.71","2,368.74"
341,"2,178.34","2,277.49","2,118.11","1,913.59","1,949.84","2,281.85"
342,"2,176.31","2,304.96","2,089.49","1,946.75","1,950.03","2,265.14"
